measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1991,908.6817881965826,916.2869587301636,900.8759329125411
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1991,527.5468196237607,532.8475679672496,522.4676830756741
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1991,681.3272559322714,685.9797324767719,676.7520350853505
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1990,923.8084806282873,931.4718655385525,915.7559342617419
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1990,540.7041781468467,545.9510627131995,535.5769471763952
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1990,695.2392805162018,699.5382100978566,690.7088355930263
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1992,898.1597212178508,905.8102642419069,890.4344888588655
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1992,522.7805906141622,527.6219943921515,517.882376836245
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1992,674.3282828949339,678.7213565079747,669.5407018515104
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1993,895.0147650937013,902.395163587134,887.3839795925286
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1993,518.5000306154827,523.4487645007641,513.3736477791131
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1993,671.0991062825606,675.4443662318267,666.7426129855576
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1995,859.4736090350469,866.6488835239782,851.5197291602566
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1995,500.5466811967341,505.5274345042189,495.14753219497464
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1995,647.277487420021,652.2273631266806,641.8443774211102
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1996,842.1693680168117,849.553669114581,834.9263855834291
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1996,491.6036432000416,496.6571802164155,486.75201314898334
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1996,634.6638312474648,640.8600102877115,628.8810753547166
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1994,872.5154813857713,879.7888005925837,865.0797911471351
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1994,510.5136546534811,515.7162264437126,505.36801670823104
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1994,658.0841218130522,662.7314609850383,653.5825688314372
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1997,826.4636528683964,833.2144307927631,819.4855319124804
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1997,484.7669796610099,489.9164978130803,479.52414884745883
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1997,624.2684739226854,628.8778685487003,619.3904539323894
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2000,782.7521752326984,790.0038948293609,775.7104452075589
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2000,466.3013379249293,471.1593208853302,461.3641269106894
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2000,597.8251969094042,602.1995282914147,593.5945418946293
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1999,800.4539456230686,808.0749992071022,793.2425086230967
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1999,473.40125280275106,478.58639550045734,468.68986538319234
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1999,608.4771164589856,612.792736704768,603.823357742445
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2001,764.1368104623231,770.9984822707956,757.4178390856218
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2001,457.04450602321424,462.12826212825127,452.3423223757183
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2001,585.0769024023707,589.1104085918439,580.9266155120873
Deaths,Belgium,Male,Age-standardized,All causes,Rate,1998,810.7048365148953,817.4705460659665,803.7869078430442
Deaths,Belgium,Female,Age-standardized,All causes,Rate,1998,482.1083700944988,487.2473368210179,476.94489237929736
Deaths,Belgium,Both,Age-standardized,All causes,Rate,1998,616.9331837634156,621.5710657126841,612.7330011028629
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2003,740.0793468456019,746.6786263970749,733.6991414531409
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2003,451.14227934308224,455.83822078222363,446.2467546520304
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2003,571.8653321814219,575.659712852275,567.8777178780815
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2002,754.8521362648016,761.3684513373523,748.3387563658042
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2002,455.7567407923581,460.4832262509848,451.0370511076908
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2002,580.6700914242239,584.3186572495106,576.5570439807843
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2004,712.3984770177406,718.9935328077023,705.7209952147838
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2004,435.0875822516969,439.6423018062585,430.4591565414611
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2004,551.5005934392041,555.3490136126801,547.2180223615884
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2007,660.1775739406816,666.1856557526334,654.0178623929015
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2007,412.2780897961931,416.48171645278325,408.12647372397913
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2007,517.864276922955,521.4755504427136,514.1406716913297
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2005,694.3722929444782,700.6562565093898,688.0505294700752
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2005,426.15016109900023,430.7245089251117,421.5929153236296
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2005,539.3841294690577,543.2235065036435,535.4767922150085
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2008,654.0731637280384,659.7618420814398,647.9866617535449
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2008,408.3357051339653,412.65201780246827,403.78642490030893
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2008,513.4852080883207,517.186151951141,509.7622860746718
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2009,640.975315490381,647.2160099318628,635.3974448015167
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2009,404.475234581941,408.7614750069123,400.51204002614776
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2009,506.0332308483696,509.5554996680034,502.4789850603474
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2006,671.5685784561556,677.6152984353047,665.261922076562
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2006,414.71783732901724,419.11356247613054,410.3099479316234
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2006,523.5957085783377,527.3024741112979,519.7691780097695
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2011,616.461985252792,622.3615672653833,610.6999538768451
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2011,391.16370121464314,395.4640533343428,386.96038380632194
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2011,488.76926657974735,492.5982810782928,485.1575299866236
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2013,601.5667523217011,607.5999436126644,595.7650641775356
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2013,384.7680728865058,389.1527481021745,380.62277979221625
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2013,479.01628473998477,483.7309492570559,474.38592447071363
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2010,628.2913353652883,634.4159882330543,622.8337138956679
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2010,396.3474185781479,400.5054295916179,392.156840819062
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2010,496.38425111918923,500.1051252584333,492.89958341655023
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2012,615.2492336224684,621.3565348629586,609.4372849104278
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2012,387.82574185660195,392.3222043021571,383.7083117912751
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2012,486.497758097375,490.44154553654795,482.66836988756
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2015,574.0310181451296,580.2759518536006,567.9086299872635
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2015,374.83872423441153,379.5254404588281,370.63788177105897
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2015,462.3093505110046,466.805209615242,457.81854005167753
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2017,561.3220469219999,571.3350290492438,551.7366206772425
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2017,362.1532425276649,368.8098315685291,355.85089704463593
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2017,450.0063226764263,458.2335501055666,442.16007172448656
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2014,581.1196768920654,587.2568199313185,575.5061201797956
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2014,372.4362143196693,376.5836694789817,368.4856416032987
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2014,463.61272521312867,468.2755239930526,459.0933025004571
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2016,563.7575006429477,571.539554243477,556.3900895020264
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2016,364.99546301916257,370.29564244304936,359.9248801889106
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2016,452.4290055326171,458.4901348648864,446.7440707365873
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2019,558.651145142668,571.8146657986896,546.3762247789689
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2019,362.14658873634477,370.52488832589245,354.36947723110325
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2019,449.5290650619109,460.16880142519074,439.6343702300464
Deaths,Belgium,Male,Age-standardized,All causes,Rate,2018,558.4826890570607,570.1582717522724,547.3572161854697
Deaths,Belgium,Female,Age-standardized,All causes,Rate,2018,362.21827712128146,369.6097825839057,355.0477571842607
Deaths,Belgium,Both,Age-standardized,All causes,Rate,2018,449.2043986825076,458.6408018658806,440.6000510243541
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1990,20493.347640873224,20692.933658505175,20295.654431418046
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1990,11395.833208883143,11524.490808951125,11270.926403947278
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1990,15489.332570644505,15612.711091565994,15368.88805611239
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1991,20228.330996677098,20420.789028892774,20027.890277604965
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1991,11126.74836248826,11254.943983393256,11000.543913144113
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1991,15233.538355977871,15351.349729626305,15118.268201943132
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1993,19824.243703702556,20007.46605126818,19632.10855942736
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1993,10820.571921943423,10943.436052908695,10705.308611701568
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1993,14893.017670771302,15010.217756934946,14777.111758794543
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1992,19960.802188732127,20160.561522497173,19768.7777978985
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1992,10999.726509984168,11117.307116871118,10880.21247622882
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1992,15047.135467493827,15165.947106647473,14929.088129442694
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1995,18933.395264303148,19103.82230302973,18745.030969910185
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1995,10372.249677580528,10491.816725416393,10245.143766631934
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1995,14260.736256861797,14379.554103838154,14133.738951981959
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1994,19362.676984383786,19539.83750639401,19184.675616138356
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1994,10656.017724431445,10778.163304000955,10533.736581336581
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1994,14606.379532301742,14719.408799086772,14494.180129765939
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1996,18353.284665349758,18537.403266321202,18185.337530157438
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1996,10055.528222764038,10180.743478506958,9930.215651672386
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1996,13824.258318999819,13978.982355043105,13678.038458368985
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1997,17942.9156943062,18111.293767256866,17776.076144637333
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1997,9883.135153230438,10017.631087739259,9745.819071589542
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1997,13546.2280415691,13671.304231082424,13415.566642695028
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1999,17367.121636527096,17556.726290962208,17183.155489734985
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1999,9551.73471714169,9676.868200658613,9429.883028015798
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1999,13127.010113814296,13239.39813551957,13007.25507742431
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2000,17074.573554509047,17243.299307551486,16902.058017059797
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2000,9426.656012551693,9542.460900215876,9305.016938254847
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2000,12940.178700272209,13056.676753638565,12829.634304912046
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,1998,17556.49112112231,17718.20577863186,17390.68761036552
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,1998,9789.558771619893,9920.404463239101,9660.34923016771
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,1998,13326.870038436908,13447.659950391813,13210.30272590884
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2001,16646.980606393707,16809.589901631345,16483.062434546842
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2001,9211.280508149259,9339.177117027602,9088.382713483825
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2001,12634.610134091192,12743.587303102599,12519.146614382984
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2003,15792.864193375064,15949.534329753404,15644.436531372305
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2003,8873.339033173635,8983.32723858689,8759.8187293061
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2003,12063.970888009875,12161.38334483723,11959.028029691155
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2002,16254.391483722105,16412.272124079478,16100.177392217918
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2002,9063.18130429933,9175.962478228268,8946.616142065028
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2002,12375.864366780448,12472.079592803999,12269.130176410583
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2004,15177.758430820495,15340.92011499514,15024.975013845871
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2004,8542.460652451786,8646.704641537359,8436.49155321838
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2004,11608.186596622412,11709.530133335906,11501.60987600307
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2005,14803.352605172626,14949.802938957604,14659.566616212307
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2005,8401.601411756339,8503.332261221933,8298.196220161211
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2005,11366.181493203987,11461.71073382313,11266.347301550197
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2007,14122.726678045277,14259.889528599668,13976.625448480892
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2007,8186.7816097763625,8274.082823926652,8100.325577816968
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2007,10948.923598670419,11034.411963244938,10857.385300514177
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2008,13924.902623060798,14058.35044291466,13780.555233547237
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2008,8050.376712591956,8139.766516006281,7956.416740444392
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2008,10789.932521446046,10879.175178884208,10703.406627791463
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2009,13592.078868142335,13733.251869668426,13456.352592165633
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2009,7984.734893391725,8076.2531776121305,7892.658620196996
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2009,10602.086755299055,10687.007320738981,10520.404030644517
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2006,14343.445297751508,14484.449283845948,14196.198780302213
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2006,8208.731155578274,8305.088144811663,8110.383359992006
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2006,11056.294447328824,11154.095395521981,10960.747109962194
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2011,13088.087154192526,13225.417441591073,12947.905058743054
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2011,7754.870489047751,7857.022810307951,7651.502825163628
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2011,10254.33311837571,10351.879827844856,10160.443116925953
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2012,12960.03697922025,13105.924848905323,12820.9864041195
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2012,7635.210444340282,7740.303033809452,7538.023751075502
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2012,10131.85099810318,10230.61043338539,10034.025300274358
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2010,13349.15814706751,13492.912315780093,13219.38154014771
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2010,7866.769238134307,7965.461031459518,7766.293073392924
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2010,10430.034599806528,10524.948938484637,10344.442236881383
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2013,12567.274552479155,12707.869660839084,12430.427762903564
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2013,7544.621805780813,7640.016961968729,7449.908490269283
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2013,9900.552204646443,10013.676998007386,9794.775954969693
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2015,11900.990220884176,12053.237972794714,11748.979383808606
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2015,7273.223726745252,7382.419790036613,7175.158472996232
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2015,9455.067676856208,9565.431040913298,9344.940598156254
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2017,11611.845690444465,11903.794320859506,11333.489767508901
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2017,7008.450806458022,7203.031292844006,6834.9047994068505
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2017,9185.319582179809,9424.892369561,8962.335388027568
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2016,11695.488964220003,11907.885323508439,11490.850718550882
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2016,7081.698096605457,7221.899062291651,6950.413008441865
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2016,9260.481729668176,9433.316546011887,9100.60830463058
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2014,12128.52850431599,12264.860567204798,11999.727789960978
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2014,7271.393008731348,7361.424302297435,7179.936877162184
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2014,9556.371544515612,9665.505568431568,9454.870943465985
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2019,11526.032801850806,11930.09678315185,11160.962356307706
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2019,6961.5307461609345,7207.710260797881,6739.774575899889
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2019,9129.163951486438,9453.051731234154,8837.400150105335
YLLs (Years of Life Lost),Belgium,Male,Age-standardized,All causes,Rate,2018,11545.137436398849,11892.983643855927,11221.867113436492
YLLs (Years of Life Lost),Belgium,Female,Age-standardized,All causes,Rate,2018,6983.918040237009,7198.629920195049,6785.706814232191
YLLs (Years of Life Lost),Belgium,Both,Age-standardized,All causes,Rate,2018,9146.222818382024,9425.309699063915,8889.306842191567
YLDs (Years Lived with Disability),Belgium,Male,Age-standardized,All causes,Rate,1991,9748.251194365937,12704.299257615749,7211.695311240547
YLDs (Years Lived with Disability),Belgium,Female,Age-standardized,All causes,Rate,1991,11811.46302286767,15467.21211854879,8625.177338649226
YLDs (Years Lived with Disability),Belgium,Both,Age-standardized,All causes,Rate,1991,10774.106648559731,14055.814686300002,7892.98491625868
YLDs (Years Lived with Disability),Belgium,Male,Age-standardized,All causes,Rate,1990,9725.658123541656,12668.978133174554,7191.695506981903
YLDs (Years Lived with Disability),Belgium,Female,Age-standardized,All causes,Rate,1990,11807.517571889533,15447.58613878643,8622.50179725148
YLDs (Years Lived with Disability),Belgium,Both,Age-standardized,All causes,Rate,1990,10760.484801807846,14044.95692764358,7904.668334452332
YLDs (Years Lived with Disability),Belgium,Male,Age-standardized,All causes,Rate,1992,9769.5335872036,12722.840803570196,7221.292177167246
YLDs (Years Lived with Disability),Belgium,Female,Age-standardized,All causes,Rate,1992,11818.977696065753,15413.194726190643,8659.855182917983
YLDs (Years Lived with Disability),Belgium,Both,Age-standardized,All causes,Rate,1992,10789.167297191598,14064.244607855115,7896.419517030705
YLDs (Years Lived with Disability),Belgium,Male,Age-standardized,All causes,Rate,1993,9790.392509946509,12742.8410661315,7223.402183820091
YLDs (Years Lived with Disability),Belgium,Female,Age-standardized,All causes,Rate,1993,11823.068213359422,15422.00960883165,8669.550337319752
YLDs (Years Lived with Disability),Belgium,Both,Age-standardized,All causes,Rate,1993,10802.240022866614,14078.643251770736,7918.132856207384
YLDs (Years Lived with Disability),Belgium,Male,Age-standardized,All causes,Rate,1994,9806.825307521927,12764.744815731896,7220.43982582148
